ID,中文,英文,分类,字段类型,来源文件
1092023,铜狮鹫盾,Steel Aquila Shield,equipment,name,String.wz\Eqp.img.xml
1092024,银狮鹫盾,Silver Aquila Shield,equipment,name,String.wz\Eqp.img.xml
1092025,金狮鹫盾,Gold Aquila Shield,equipment,name,String.wz\Eqp.img.xml
1092026,铜圣十字盾,Bronze Kalkan,equipment,name,String.wz\Eqp.img.xml
1092027,银圣十字盾,Silver Kalkan,equipment,name,String.wz\Eqp.img.xml
1092028,金圣十字盾,Gold Kalkan,equipment,name,String.wz\Eqp.img.xml
1092029,电磁光盾,Esther Shield,equipment,name,String.wz\Eqp.img.xml
1092030,枫叶盾,Maple Shield,equipment,name,String.wz\Eqp.img.xml
1092031,瓢虫,Ladybug Shield,equipment,name,String.wz\Eqp.img.xml
1092032,饼干,Cookie Shield,equipment,name,String.wz\Eqp.img.xml
1092033,幸运草,Clover Shield,equipment,name,String.wz\Eqp.img.xml
1092034,邪神蚩尤战盾,Red Devil Shield,equipment,name,String.wz\Eqp.img.xml
1092035,可乐战盾,Cokeplay Shield,equipment,name,String.wz\Eqp.img.xml
1092036,绿色臂盾,Green Hoflon,equipment,name,String.wz\Eqp.img.xml
1092037,紫色臂盾,Violet Hoflon,equipment,name,String.wz\Eqp.img.xml
1092038,蓝色臂盾,Blue Hoflon,equipment,name,String.wz\Eqp.img.xml
1092039,枯叶盾,Leaf Fall,equipment,name,String.wz\Eqp.img.xml
1092040,雪花盾牌,Snowflake Shield,equipment,name,String.wz\Eqp.img.xml
1092041,习得技能盾牌,Skill-Earning Shield,equipment,name,String.wz\Eqp.img.xml
1092042,铁甲盾牌,Gellerhead Shield,equipment,name,String.wz\Eqp.img.xml
1092044,心型迷你盾牌,Love Knuckler,equipment,name,String.wz\Eqp.img.xml
1092045,枫叶魔法师盾牌,Maple Magician shield,equipment,name,String.wz\Eqp.img.xml
1092046,枫叶战士盾牌,Maple Warrior shield,equipment,name,String.wz\Eqp.img.xml
1092047,枫叶飞侠盾牌,Maple Thief shield,equipment,name,String.wz\Eqp.img.xml
1092049,热情剑盾,Dragon Khanjar,equipment,name,String.wz\Eqp.img.xml
1092050,冷艳剑盾,Khanjar,equipment,name,String.wz\Eqp.img.xml
1092052,黑狮鹫盾,Black Phoenix Shield,equipment,name,String.wz\Eqp.img.xml
1092056,透明盾牌,Transparent Shield,equipment,name,String.wz\Eqp.img.xml
1092057,永恒魔光盾,Timeless Prelude,equipment,name,String.wz\Eqp.img.xml
1092058,永恒寒冰盾,Timeless Kite Shield,equipment,name,String.wz\Eqp.img.xml
1092059,永恒匿踪盾,Timeless List,equipment,name,String.wz\Eqp.img.xml
1092060,青龙盾牌,Blue Dragon Shield,equipment,name,String.wz\Eqp.img.xml
1092061,平衡十字,Crossheider ,equipment,name,String.wz\Eqp.img.xml
1092062,冒险明星盾牌,Maple Girl Shield,equipment,name,String.wz\Eqp.img.xml
Shoes,玩具品克缤拖拖,Pink Bean Shoes,equipment,name,String.wz\Eqp.img.xml
1070000,轻便鞋,Blue Gomushin,equipment,name,String.wz\Eqp.img.xml
1070001,黑圣诞鞋,Black Santa Boots,equipment,name,String.wz\Eqp.img.xml
1070002,日式木屐,Kimono Shoes,equipment,name,String.wz\Eqp.img.xml
1070003,波斯靴,Black Shoes of Death,equipment,name,String.wz\Eqp.img.xml
1070004,高脚登山靴(蓝),Blue Western Walkers,equipment,name,String.wz\Eqp.img.xml
1070005,圣诞鞋,Santa Boy Boots,equipment,name,String.wz\Eqp.img.xml
1070006,宫廷靴,Royal Costume Shoes,equipment,name,String.wz\Eqp.img.xml
1070007,金童鞋,Lunar Celebration Shoes,equipment,name,String.wz\Eqp.img.xml
1070009,白礼鞋,Paris Wingtips,equipment,name,String.wz\Eqp.img.xml
1070014,公主高跟鞋,Veras Heels [m],equipment,name,String.wz\Eqp.img.xml
1070015,粉色袜套鞋,Bunny Boots [m],equipment,name,String.wz\Eqp.img.xml
1070016,巨星摩登靴,Dandy Silver Sneaks,equipment,name,String.wz\Eqp.img.xml
1071000,蓝袜子鞋,Blue Loose Sox,equipment,name,String.wz\Eqp.img.xml
1071001,红袜子鞋,Red Loose Sox,equipment,name,String.wz\Eqp.img.xml
1071002,绣花鞋,Red Gomushin,equipment,name,String.wz\Eqp.img.xml
1071004,粉红护士鞋,Pink Nurse Shoes,equipment,name,String.wz\Eqp.img.xml
1071005,白色护士鞋,White Nurse Shoes,equipment,name,String.wz\Eqp.img.xml
1071006,SF忍者靴,SF Ninja Shoes,equipment,name,String.wz\Eqp.img.xml
1071007,兔兔鞋,Bunny Boots,equipment,name,String.wz\Eqp.img.xml
1071008,日式和服鞋,Kimono Sandals,equipment,name,String.wz\Eqp.img.xml
1071009,高脚登山靴(红),Red Western Walkers,equipment,name,String.wz\Eqp.img.xml
1071010,海神紫美夫人鞋子,Sea Queen Sandals,equipment,name,String.wz\Eqp.img.xml
1071011,白色高跟礼靴,Race Queen Boots,equipment,name,String.wz\Eqp.img.xml
1071012,貂蝉鞋子,Diao Chan Shoes,equipment,name,String.wz\Eqp.img.xml
1071013,白猫鞋子,White Cat Shoes,equipment,name,String.wz\Eqp.img.xml
1071014,黑猫鞋子,Black Cat Shoes,equipment,name,String.wz\Eqp.img.xml
1071015,侍女鞋子,Maid Shoes,equipment,name,String.wz\Eqp.img.xml
1071016,红长统靴,Santa Girl Boots,equipment,name,String.wz\Eqp.img.xml
1071017,豹皮鞋,Leopard Print Shoes,equipment,name,String.wz\Eqp.img.xml
1071018,虎皮靴,Brown Leather Boots,equipment,name,String.wz\Eqp.img.xml
1071019,玉女鞋,Lunar Celebration Pumps,equipment,name,String.wz\Eqp.img.xml
1071020,新娘的传统优雅的高跟鞋,"Traditional, elegant Bride heels",equipment,desc,String.wz\Eqp.img.xml
1071021,鬼娃娃鞋,Gothic Boots,equipment,name,String.wz\Eqp.img.xml
1071024,黑礼鞋,Black Dress Shoes [f],equipment,name,String.wz\Eqp.img.xml
1071026,巨星潮流靴,White High Top,equipment,name,String.wz\Eqp.img.xml
1072000,黄金月长靴,Brown Jangoon Shoes,equipment,name,String.wz\Eqp.img.xml
1072001,红橡胶长靴,Red Rubber Boots,equipment,name,String.wz\Eqp.img.xml
1072002,铁头皮鞋,Steel Trigger,equipment,name,String.wz\Eqp.img.xml
1072003,绿斗士鞋,Emerald Battle Grieves,equipment,name,String.wz\Eqp.img.xml
1072004,白橡胶鞋,White Gomushin,equipment,name,String.wz\Eqp.img.xml
1072005,皮制凉鞋,Leather Sandals,equipment,name,String.wz\Eqp.img.xml
1072006,褐马车鞋,Brown Basic Boots,equipment,name,String.wz\Eqp.img.xml
1072007,褐旅行鞋,Brown High Boots,equipment,name,String.wz\Eqp.img.xml
1072008,褐短鞋,Bronze Aroa Boots,equipment,name,String.wz\Eqp.img.xml
1072009,钢铁斗士鞋,Steel Grieves,equipment,name,String.wz\Eqp.img.xml
1072010,西装皮鞋,Black Dress Shoes,equipment,name,String.wz\Eqp.img.xml
1072011,锂矿战斗鞋,Mithril War Boots,equipment,name,String.wz\Eqp.img.xml
1072012,红皮鞋,Red Whitebottom Boots,equipment,name,String.wz\Eqp.img.xml
1072013,红色运动鞋,Red Air H&apos;s,equipment,name,String.wz\Eqp.img.xml
1072014,大头皮鞋,Camping Boots,equipment,name,String.wz\Eqp.img.xml
1072015,褐硬皮鞋,Brown Hard Leather Boots,equipment,name,String.wz\Eqp.img.xml
1072016,绿软布鞋,Green Woodsman Boots,equipment,name,String.wz\Eqp.img.xml
1072017,蓝多罗鞋,Blue Ankle-strap Sandals,equipment,name,String.wz\Eqp.img.xml
1072018,蓝帆布鞋,Blue Sneakers,equipment,name,String.wz\Eqp.img.xml
1072019,蓝宝石鞋,Blue Jewelry Boots,equipment,name,String.wz\Eqp.img.xml
1072020,紫宝石鞋,Purple Jewelry Boots,equipment,name,String.wz\Eqp.img.xml
1072021,红宝石鞋,Red Jewelry Boots,equipment,name,String.wz\Eqp.img.xml
1072022,黑漆皮鞋,Black Enamel Boots,equipment,name,String.wz\Eqp.img.xml
1072023,褐安全鞋,Beige Nitty,equipment,name,String.wz\Eqp.img.xml
1072024,黑安全鞋,Black Nitty,equipment,name,String.wz\Eqp.img.xml
1072025,鹿毛鞋,Deer Huntertop,equipment,name,String.wz\Eqp.img.xml
1072026,兔毛鞋,Rabbit Huntertop,equipment,name,String.wz\Eqp.img.xml
1072027,皮质鞋子,Brown Jack Boots,equipment,name,String.wz\Eqp.img.xml
1072028,白忍者涼鞋,White Ninja Sandals,equipment,name,String.wz\Eqp.img.xml
1072029,黄忍者涼鞋,Yellow Ninja Sandals,equipment,name,String.wz\Eqp.img.xml
1072030,蓝忍者涼鞋,Blue Ninja Sandals,equipment,name,String.wz\Eqp.img.xml
1072031,红忍者涼鞋,Red Ninja Sandals,equipment,name,String.wz\Eqp.img.xml
1072032,青铜链鞋,Bronze Chain Boots,equipment,name,String.wz\Eqp.img.xml
1072033,钢铁链鞋,Iron Chain Boots,equipment,name,String.wz\Eqp.img.xml
1072034,绿皮质鞋子,Green Jack Boots,equipment,name,String.wz\Eqp.img.xml
1072035,银链鞋,Silver Chain Boots,equipment,name,String.wz\Eqp.img.xml
1072036,金链鞋,Gold Chain Boots,equipment,name,String.wz\Eqp.img.xml
1072037,黄橡胶长靴,Yellow Rubber Boots,equipment,name,String.wz\Eqp.img.xml
1072038,蓝橡胶长靴,Blue Rubber Boots,equipment,name,String.wz\Eqp.img.xml
1072039,蓝斗士鞋,Mithril Battle Grieves,equipment,name,String.wz\Eqp.img.xml
1072040,银斗士鞋,Silver Battle Grieves,equipment,name,String.wz\Eqp.img.xml
1072041,红斗士鞋,Blood Battle Grieves,equipment,name,String.wz\Eqp.img.xml
1072042,黑橡胶鞋,Black Gomushin,equipment,name,String.wz\Eqp.img.xml
1072043,脏橡胶鞋,Smelly Gomushin,equipment,name,String.wz\Eqp.img.xml
1072044,黄马车鞋,Yellow Basic Boots,equipment,name,String.wz\Eqp.img.xml
1072045,蓝马车鞋,Blue Basic Boots,equipment,name,String.wz\Eqp.img.xml
1072046,黄旅行鞋,Orange High Boots,equipment,name,String.wz\Eqp.img.xml
1072047,蓝旅行鞋,Blue High Boots,equipment,name,String.wz\Eqp.img.xml
1072048,黄短鞋,Brown Aroa Boots,equipment,name,String.wz\Eqp.img.xml
1072049,绿短鞋,Green Aroa Boots,equipment,name,String.wz\Eqp.img.xml
1072050,青铜鞋,Bronze Grieves,equipment,name,String.wz\Eqp.img.xml
1072051,银战斗鞋,Silver War Boots,equipment,name,String.wz\Eqp.img.xml
1072052,黑战斗鞋,Dark War Boots,equipment,name,String.wz\Eqp.img.xml
1072053,金战斗鞋,Gold War Boots,equipment,name,String.wz\Eqp.img.xml
1072054,朱红皮鞋,Orange Whitebottom Boots,equipment,name,String.wz\Eqp.img.xml
1072055,粉红皮鞋,Pink Whitebottom Boots,equipment,name,String.wz\Eqp.img.xml
1072056,蓝皮鞋,Blue Whitebottom Boots,equipment,name,String.wz\Eqp.img.xml
1072057,蓝色运动鞋,Blue Air H&apos;s,equipment,name,String.wz\Eqp.img.xml
1072058,黑色运动鞋,Black Air H&apos;s,equipment,name,String.wz\Eqp.img.xml
1072059,绿硬皮鞋,Green Hard Leather Boots,equipment,name,String.wz\Eqp.img.xml
1072060,褐软布鞋,Brown Woodsman Boots,equipment,name,String.wz\Eqp.img.xml
1072061,蓝软布鞋,Blue Woodsman Boots,equipment,name,String.wz\Eqp.img.xml
1072062,红多罗鞋,Red Ankle-strap Sandals,equipment,name,String.wz\Eqp.img.xml
1072063,褐多罗鞋,Brown Ankle-strap Sandals,equipment,name,String.wz\Eqp.img.xml
1072064,红帆布鞋,Red Sneakers,equipment,name,String.wz\Eqp.img.xml
1072065,红漆皮鞋,Red Enamel Boots,equipment,name,String.wz\Eqp.img.xml
1072066,蓝漆皮鞋,Blue Enamel Boots,equipment,name,String.wz\Eqp.img.xml
1072067,熊毛鞋,Bear Huntertop,equipment,name,String.wz\Eqp.img.xml
1072068,狮子毛鞋,Lion Huntertop,equipment,name,String.wz\Eqp.img.xml
1072069,红皮质鞋子,Red Jack Boots,equipment,name,String.wz\Eqp.img.xml
1072070,蓝冒险鞋,Blue Gidder Shoes,equipment,name,String.wz\Eqp.img.xml
1072071,褐冒险鞋,Brown Gidder Shoes,equipment,name,String.wz\Eqp.img.xml
1072072,银飘风鞋,Silver Windshoes,equipment,name,String.wz\Eqp.img.xml
1072073,黄飘风鞋,Yellow Windshoes,equipment,name,String.wz\Eqp.img.xml
1072074,黑飘风鞋,Black Windshoes,equipment,name,String.wz\Eqp.img.xml
1072075,红魔法鞋,Red Magicshoes,equipment,name,String.wz\Eqp.img.xml
1072076,蓝魔法鞋,Blue Magicshoes,equipment,name,String.wz\Eqp.img.xml
1072077,白魔法鞋,White Magicshoes,equipment,name,String.wz\Eqp.img.xml
1072078,黑魔法鞋,Black Magicshoes,equipment,name,String.wz\Eqp.img.xml
1072079,红打猎鞋,Red Hunter Boots,equipment,name,String.wz\Eqp.img.xml
1072080,蓝打猎鞋,Blue Hunter Boots,equipment,name,String.wz\Eqp.img.xml
1072081,绿打猎鞋,Green Hunter Boots,equipment,name,String.wz\Eqp.img.xml
1072082,黑打猎鞋,Black Hunter Boots,equipment,name,String.wz\Eqp.img.xml
1072083,褐打猎鞋,Brown Hunter Boots,equipment,name,String.wz\Eqp.img.xml
1072084,蓝追击鞋,Blue Lappy Boots,equipment,name,String.wz\Eqp.img.xml
1072085,红追击鞋,Red Lappy Boots,equipment,name,String.wz\Eqp.img.xml
1072086,绿追击鞋,Green Lappy Boots,equipment,name,String.wz\Eqp.img.xml
1072087,黑追击鞋,Black Lappy Boots,equipment,name,String.wz\Eqp.img.xml
1072088,金星绒靴,Cowboy Boots,equipment,name,String.wz\Eqp.img.xml
1072089,紫守护鞋,Purple Salt Shoes,equipment,name,String.wz\Eqp.img.xml
1072090,红守护鞋,Red Salt Shoes,equipment,name,String.wz\Eqp.img.xml
1072091,黑守护鞋,Black Salt Shoes,equipment,name,String.wz\Eqp.img.xml
1072092,黄色鸭蹼,Yellow Flippers,equipment,name,String.wz\Eqp.img.xml
1072093,蓝色鸭蹼,Blue Flippers,equipment,name,String.wz\Eqp.img.xml
1072094,黄色中靴,Yellow Rain Boots,equipment,name,String.wz\Eqp.img.xml
1072095,蓝色中靴,Sky Blue Rain Boots,equipment,name,String.wz\Eqp.img.xml
1072096,红色中靴,Red Rain Boots,equipment,name,String.wz\Eqp.img.xml
1072097,绿色中靴,Green Rain Boots,equipment,name,String.wz\Eqp.img.xml
1072098,蓝色棒球鞋,Blue Baseball Cleats,equipment,name,String.wz\Eqp.img.xml
1072099,红色棒球鞋,Red Baseball Cleats,equipment,name,String.wz\Eqp.img.xml
1072100,黑色棒球鞋,Black Baseball Cleats,equipment,name,String.wz\Eqp.img.xml
1072101,蓝锦丝鞋,Blue Silky Boots,equipment,name,String.wz\Eqp.img.xml
1072102,绿锦丝鞋,Green Silky Boots,equipment,name,String.wz\Eqp.img.xml
1072103,红锦丝鞋,Red Silky Boots,equipment,name,String.wz\Eqp.img.xml
1072104,红杨柳鞋,Red White-Lined Boots,equipment,name,String.wz\Eqp.img.xml
1072105,绿杨柳鞋,Green White-Lined Boots,equipment,name,String.wz\Eqp.img.xml
1072106,蓝杨柳鞋,Blue White-Lined Boots,equipment,name,String.wz\Eqp.img.xml
1072107,红流星鞋,Black Red-Lined Shoes,equipment,name,String.wz\Eqp.img.xml
1072108,绿流星鞋,Black Green-Lined Shoes,equipment,name,String.wz\Eqp.img.xml
1072109,黄流星鞋,Black Yellow-Lined Shoes,equipment,name,String.wz\Eqp.img.xml
1072110,蓝流星鞋,Black Blue-Lines Shoes,equipment,name,String.wz\Eqp.img.xml
1072111,黑皮中靴,Black Leather Boots,equipment,name,String.wz\Eqp.img.xml
1072112,蓝铁头鞋,Mithril Trigger,equipment,name,String.wz\Eqp.img.xml
1072113,黑铁头鞋,Dark Trigger,equipment,name,String.wz\Eqp.img.xml
1072114,红月鞋,Red Moon Shoes,equipment,name,String.wz\Eqp.img.xml
1072115,蓝月鞋,Blue Moon Shoes,equipment,name,String.wz\Eqp.img.xml
1072116,黄月鞋,Gold Moon Shoes,equipment,name,String.wz\Eqp.img.xml
1072117,黑月鞋,Dark Moon Shoes,equipment,name,String.wz\Eqp.img.xml
1072118,红精灵鞋,Red Pierre Shoes,equipment,name,String.wz\Eqp.img.xml
1072119,黄精灵鞋,Yellow Pierre Shoes,equipment,name,String.wz\Eqp.img.xml
1072120,褐精灵鞋,Brown Pierre Shoes,equipment,name,String.wz\Eqp.img.xml
1072121,蓝精灵鞋,Blue Pierre Shoes,equipment,name,String.wz\Eqp.img.xml
1072122,褐空空鞋,Brown Steel-Tip Boots,equipment,name,String.wz\Eqp.img.xml
1072123,绿空空鞋,Green Steel-Tip Boots,equipment,name,String.wz\Eqp.img.xml
1072124,蓝空空鞋,Blue Steel-Tip Boots,equipment,name,String.wz\Eqp.img.xml
1072125,紫空空鞋,Purple Steel-Tip Boots,equipment,name,String.wz\Eqp.img.xml
1072126,紫金月鞋,Maroon Jangoon Shoes,equipment,name,String.wz\Eqp.img.xml
1072127,蓝金月鞋,Blue Jangoon Shoes,equipment,name,String.wz\Eqp.img.xml
1072128,蓝雷电鞋,Blue Goni Shoes,equipment,name,String.wz\Eqp.img.xml
1072129,绿雷电鞋,Green Goni Shoes,equipment,name,String.wz\Eqp.img.xml
1072130,红雷电鞋,Red Goni Shoes,equipment,name,String.wz\Eqp.img.xml
1072131,紫雷电鞋,Purple Goni Shoes,equipment,name,String.wz\Eqp.img.xml
1072132,祖母绿将军靴,Emerald Hildon Boots,equipment,name,String.wz\Eqp.img.xml
1072133,锂矿蓝将军靴,Mithril Hildon Boots,equipment,name,String.wz\Eqp.img.xml
1072134,紫矿将军靴,Orihalcon Hildon Boots,equipment,name,String.wz\Eqp.img.xml
1072135,黄金将军靴,Gold Hildon Boots,equipment,name,String.wz\Eqp.img.xml
1072136,粉红天使靴,Pink Goldrunners,equipment,name,String.wz\Eqp.img.xml
1072137,绿天使鞋,Green Goldrunners,equipment,name,String.wz\Eqp.img.xml
1072138,黄天使鞋,Orange Goldrunners,equipment,name,String.wz\Eqp.img.xml
1072139,蓝天使鞋,Blue Goldrunners,equipment,name,String.wz\Eqp.img.xml
1072140,粉红黄金风,Pink Goldwind Shoes,equipment,name,String.wz\Eqp.img.xml
1072141,蓝黄金风,Blue Goldwind Shoes,equipment,name,String.wz\Eqp.img.xml
1072142,紫黄金风,Purple Goldwind Shoes,equipment,name,String.wz\Eqp.img.xml
1072143,绿黄金风,Green Goldwind Shoes,equipment,name,String.wz\Eqp.img.xml
1072144,紫花精鞋,Red Gore Boots,equipment,name,String.wz\Eqp.img.xml
1072145,蓝花精鞋,Blue Gore Boots,equipment,name,String.wz\Eqp.img.xml
1072146,绿花精鞋,Green Gore Boots,equipment,name,String.wz\Eqp.img.xml
1072147,蓝十字鞋,Sapphire Camel Boots,equipment,name,String.wz\Eqp.img.xml
1072148,紫十字鞋,Orihalcon Camel Boots,equipment,name,String.wz\Eqp.img.xml
1072149,红十字鞋,Blood Camel Boots,equipment,name,String.wz\Eqp.img.xml
1072150,红无痕之鞋,Blood Moss Boots,equipment,name,String.wz\Eqp.img.xml
1072151,金无痕之鞋,Gold Moss Boots,equipment,name,String.wz\Eqp.img.xml
1072152,黑无痕之鞋,Dark Moss Boots,equipment,name,String.wz\Eqp.img.xml
1072153,透明鞋,Transparent Shoes,equipment,name,String.wz\Eqp.img.xml
1072154,蓝飞魂鞋,Blue Carzen Boots,equipment,name,String.wz\Eqp.img.xml
1072155,紫飞魂鞋,Purple Carzen Boots,equipment,name,String.wz\Eqp.img.xml
1072156,黑飞魂鞋,Dark Carzen Boots,equipment,name,String.wz\Eqp.img.xml
1072157,蓝水晶凉鞋,Blue Lapiz Sandals,equipment,name,String.wz\Eqp.img.xml
1072158,红水晶凉鞋,Red Lapiz Sandals,equipment,name,String.wz\Eqp.img.xml
1072159,褐水晶凉鞋,Brown Lapiz Sandals,equipment,name,String.wz\Eqp.img.xml
1072160,金水晶凉鞋,Gold Lapiz Sandals,equipment,name,String.wz\Eqp.img.xml
1072161,紫龙皮鞋,Purple Mystique Shoes,equipment,name,String.wz\Eqp.img.xml
1072162,蓝龙皮鞋,Blue Mystique Shoes,equipment,name,String.wz\Eqp.img.xml
1072163,红龙皮鞋,Red Mystique Shoes,equipment,name,String.wz\Eqp.img.xml
1072164,蓝箭魂鞋,Blue Elf Shoes,equipment,name,String.wz\Eqp.img.xml
1072165,黄箭魂鞋,Baige Elf Shoes,equipment,name,String.wz\Eqp.img.xml
1072166,绿箭魂鞋,Green Elf Shoes,equipment,name,String.wz\Eqp.img.xml
1072167,黑箭魂鞋,Dark Elf Shoes,equipment,name,String.wz\Eqp.img.xml
1072168,红雪鞋,Red Snowshoes,equipment,name,String.wz\Eqp.img.xml
1072169,蓝雪鞋,Blue Snowshoes,equipment,name,String.wz\Eqp.img.xml
1072170,绿雪鞋,Green Snowshoes,equipment,name,String.wz\Eqp.img.xml
1072171,黑雪鞋,Black Snowshoes,equipment,name,String.wz\Eqp.img.xml
1072172,绿飞影鞋,Green Pirate Boots,equipment,name,String.wz\Eqp.img.xml
1072173,红飞影鞋,Red Pirate Boots,equipment,name,String.wz\Eqp.img.xml
1072174,黑飞影鞋,Dark Pirate Boots,equipment,name,String.wz\Eqp.img.xml
1072175,忍者鞋,Ninja Shoes,equipment,name,String.wz\Eqp.img.xml
1072176,军靴,Military Boots,equipment,name,String.wz\Eqp.img.xml
1072177,绿密林之鞋,Green Enigma Shoes,equipment,name,String.wz\Eqp.img.xml
1072178,紫密林之鞋,Purple Enigma Shoes,equipment,name,String.wz\Eqp.img.xml
1072179,黑密林之鞋,Dark Enigma Shoes,equipment,name,String.wz\Eqp.img.xml
1072180,鸭子长靴,Flipper Boots,equipment,name,String.wz\Eqp.img.xml
1072181,风凉拖拖,Green Ting Slippers,equipment,name,String.wz\Eqp.img.xml
1072182,蓝飞翼鞋,Blue Wing Boots,equipment,name,String.wz\Eqp.img.xml
1072183,红飞翼鞋,Red Wing Boots,equipment,name,String.wz\Eqp.img.xml
1072184,绿飞翼鞋,Green Wing Boots,equipment,name,String.wz\Eqp.img.xml
1072185,黑飞翼鞋,Dark Wing Boots,equipment,name,String.wz\Eqp.img.xml
1072186,猫托鞋,Kitty Slipper,equipment,name,String.wz\Eqp.img.xml
1072187,蓝圆头拖鞋,Blue Marble Slippers,equipment,name,String.wz\Eqp.img.xml
1072188,红圆头拖鞋,Red Marble Slippers,equipment,name,String.wz\Eqp.img.xml
1072189,兔兔拖,Bunny Slippers,equipment,name,String.wz\Eqp.img.xml
1072190,蓝色篮球鞋,Blue B-ball Sneakers,equipment,name,String.wz\Eqp.img.xml
1072191,橙色篮球鞋,Orange B-ball Sneakers,equipment,name,String.wz\Eqp.img.xml
1072192,蓝扣带靴,Green Osfa Boots,equipment,name,String.wz\Eqp.img.xml
1072193,褐扣带靴,Brown Osfa Boots,equipment,name,String.wz\Eqp.img.xml
1072194,紫扣带靴,Purple Osfa Boots,equipment,name,String.wz\Eqp.img.xml
1072195,红扣带靴,Red Osfa Boots,equipment,name,String.wz\Eqp.img.xml
1072196,黄鳞甲靴,Emerald War Greave,equipment,name,String.wz\Eqp.img.xml
1072197,紫鳞甲靴,Orihalcon War Greave,equipment,name,String.wz\Eqp.img.xml
1072198,银鳞甲靴,Dark War Greave,equipment,name,String.wz\Eqp.img.xml
1072199,黑轻便鞋,Ragged Korean Rubber Shoes,equipment,name,String.wz\Eqp.img.xml
1072200,褐色皮鞋,Brown Dress Shoes,equipment,name,String.wz\Eqp.img.xml
1072201,红软靴,Red Leather Boots,equipment,name,String.wz\Eqp.img.xml
1072202,基督山鞋,Mesoranger Boots,equipment,name,String.wz\Eqp.img.xml
1072203,夜精灵靴(红),Red Ades Shoes,equipment,name,String.wz\Eqp.img.xml
1072204,夜精灵靴(绿),Green Ades Shoes,equipment,name,String.wz\Eqp.img.xml
1072205,夜精灵靴(黑),Dark Ades Shoes,equipment,name,String.wz\Eqp.img.xml
1072206,杰斯特鞋(蓝),Blue Neli Shoes,equipment,name,String.wz\Eqp.img.xml
1072207,杰斯特鞋(绿),Green Neli Shoes,equipment,name,String.wz\Eqp.img.xml
1072208,杰斯特鞋(红),Red Neli Shoes,equipment,name,String.wz\Eqp.img.xml
1072209,杰斯特鞋(黑),Dark Neli Shoes,equipment,name,String.wz\Eqp.img.xml
1072210,红宝石靴,Red Rivers Boots,equipment,name,String.wz\Eqp.img.xml
1072211,蓝宝石靴,Blue Rivers Boots,equipment,name,String.wz\Eqp.img.xml
1072212,黄宝石靴,Dark Rivers Boots,equipment,name,String.wz\Eqp.img.xml
1072213,侠盗长靴(绿),Green Katina Boots,equipment,name,String.wz\Eqp.img.xml
1072214,侠盗长靴(蓝),Blue Katina Boots ,equipment,name,String.wz\Eqp.img.xml
1072215,侠盗长靴(红),Red Katina Boots,equipment,name,String.wz\Eqp.img.xml
1072216,侠盗长靴(黑),Dark Katina Boots,equipment,name,String.wz\Eqp.img.xml
1072217,翻毛绒靴(黄),Beige Golashes,equipment,name,String.wz\Eqp.img.xml
1072218,翻毛绒靴(蓝),Sky Blue Golashes,equipment,name,String.wz\Eqp.img.xml
1072219,翻毛绒靴(粉),Pink Golashes,equipment,name,String.wz\Eqp.img.xml
1072220,龙纹战靴(绿),Green Crescent Boots,equipment,name,String.wz\Eqp.img.xml
1072221,龙纹战靴(蓝),Blue Crescent Boots,equipment,name,String.wz\Eqp.img.xml
1072222,龙纹战靴(灰),Dark Crescent Boots,equipment,name,String.wz\Eqp.img.xml
1072226,杰斯特鞋(灰),Dark Varr Shoes,equipment,name,String.wz\Eqp.img.xml
1072227,飞羽鞋(红),Red Arnah Shoes,equipment,name,String.wz\Eqp.img.xml
1072228,飞羽鞋(蓝),Blue Arnah Shoes,equipment,name,String.wz\Eqp.img.xml
1072229,飞羽鞋(绿),Green Arnah Shoes,equipment,name,String.wz\Eqp.img.xml
1072230,黑拳击鞋,Black Boxing Shoes,equipment,name,String.wz\Eqp.img.xml
1072231,蓝拳击鞋,Blue Boxing Shoes,equipment,name,String.wz\Eqp.img.xml
1072232,红拳击鞋,Red Boxing Shoes,equipment,name,String.wz\Eqp.img.xml
1072233,虎爪,Bear Shoes,equipment,name,String.wz\Eqp.img.xml
1072234,蓝水灵拖拖,Bubbling Slippers,equipment,name,String.wz\Eqp.img.xml
1072235,绿水灵拖拖,Slime Slippers,equipment,name,String.wz\Eqp.img.xml
1072236,关公鞋子,Guan Yu Shoes,equipment,name,String.wz\Eqp.img.xml
1072237,诸葛亮鞋子,Zhu-Ge-Liang Shoes,equipment,name,String.wz\Eqp.img.xml
1072238,紫色钉鞋,Violet Snowshoes,equipment,name,String.wz\Eqp.img.xml
1072239,黄色钉鞋,Yellow Snowshoes,equipment,name,String.wz\Eqp.img.xml
1072240,兔八哥鞋,Big Rabbit Feet,equipment,name,String.wz\Eqp.img.xml
1072241,蜀皇之鞋,Liu Bei Shoes,equipment,name,String.wz\Eqp.img.xml
1072242,魏皇之鞋,Cao Cao Shoes,equipment,name,String.wz\Eqp.img.xml
1072243,吴皇之鞋,Sun Quan Shoes,equipment,name,String.wz\Eqp.img.xml
1072244,红漆木鞋,Red Enamel Shoes,equipment,name,String.wz\Eqp.img.xml
1072245,蓝漆木鞋,Blue Enamel Shoes,equipment,name,String.wz\Eqp.img.xml
1072246,粉红大头鞋,Pink Sneakers,equipment,name,String.wz\Eqp.img.xml
1072247,黄劳动皮鞋,Hunting Boots,equipment,name,String.wz\Eqp.img.xml
